Stock,Symbol,Lots,Market Cap
ACC LIMITED                         ,ACC       ,300,
AARTI INDUSTRIES LTD                ,AARTIIND  ,1325,
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125,
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL ,3100,
ABB INDIA LIMITED                   ,ABB       ,125,
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,2500,
ASIAN PAINTS LIMITED                ,ASIANPAINT,250,
ADANI TOTAL GAS LIMITED             ,ATGL      ,875,
AXIS BANK LIMITED                   ,AXISBANK  ,625,
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,75,
BHEL                                ,BHEL      ,2625,
BIOCON LIMITED.                     ,BIOCON    ,2500,
BRITANNIA INDUSTRIES LTD            ,BRITANNIA ,125,
BSE LIMITED                         ,BSE       ,375,
BIRLASOFT LIMITED                   ,BSOFT     ,1300,
ADANI GREEN ENERGY LTD              ,ADANIGREEN,600,
BANK OF INDIA                       ,BANKINDIA ,5200,
BLUE STAR LIMITED                   ,BLUESTARCO,325,
DABUR INDIA LTD                     ,DABUR     ,1250,
DELHIVERY LIMITED                   ,DELHIVERY ,2075,
ANGEL ONE LIMITED                   ,ANGELONE  ,250,
DR. REDDY S LABORATORIES            ,DRREDDY   ,625,
FEDERAL BANK LTD                    ,FEDERALBNK,5000,
GODREJ CONSUMER PRODUCTS            ,GODREJCP  ,500,
GRANULES INDIA LIMITED              ,GRANULES  ,1075,
HDFC LIFE INS CO LTD                ,HDFCLIFE  ,1100,
HINDALCO  INDUSTRIES  LTD           ,HINDALCO  ,1400,
ASTRAL LIMITED                      ,ASTRAL    ,425,
CANARA BANK                         ,CANBK     ,6750,
ADANI ENERGY SOLUTION LTD           ,ADANIENSOL,675,
ADITYA BIRLA FASHION & RT           ,ABFRL     ,2600,
ADANI PORT & SEZ LTD                ,ADANIPORTS,475,
AU SMALL FINANCE BANK LTD           ,AUBANK    ,1000,
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,925,
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,1050,
INDRAPRASTHA GAS LTD                ,IGL       ,2750,
THE INDIAN HOTELS CO. LTD           ,INDHOTEL  ,1000,
